# Value averages  
# Time            	momentum_x        	momentum_y        	momentum_z        
0.00079	5.0202500253e-03	8.4001087400e-09	-2.2690435996e-09
0.0008	5.0202500250e-03	8.3867326101e-09	-2.6378069410e-09
0.00081	5.0202500247e-03	8.3736297840e-09	-2.9997721179e-09
0.00082	5.0202500244e-03	8.3607618113e-09	-3.3551425946e-09
0.00083	5.0202500241e-03	8.3481237975e-09	-3.7040850537e-09
0.00084	5.0202500238e-03	8.3357318067e-09	-4.0467338053e-09
0.00085	5.0202500235e-03	8.3235866178e-09	-4.3832260883e-09
0.00086	5.0202500232e-03	8.3116273502e-09	-4.7137852551e-09
0.00087	5.0202500230e-03	8.2998385468e-09	-5.0385345593e-09
0.00088	5.0202500227e-03	8.2882378582e-09	-5.3575729821e-09
0.00089	5.0202500224e-03	8.2768272731e-09	-5.6710096040e-09
0.0009	5.0202500222e-03	8.2655901363e-09	-5.9789927816e-09
0.00091	5.0202500219e-03	8.2545242037e-09	-6.2816429103e-09
0.00092	5.0202500217e-03	8.2435932379e-09	-6.5790954769e-09
0.00093	5.0202500215e-03	8.2327581726e-09	-6.8714259397e-09
0.00094	5.0202500212e-03	8.2220120941e-09	-7.1588047128e-09
0.00095	5.0202500210e-03	8.2113535940e-09	-7.4413500080e-09
0.00096	5.0202500208e-03	8.2007250354e-09	-7.7191794541e-09
0.00097	5.0202500206e-03	8.1901131346e-09	-7.9923678677e-09
0.00098	5.0202500204e-03	8.1795022533e-09	-8.2610080391e-09
0.00099	5.0202500202e-03	8.1689419721e-09	-8.5251741317e-09
0.001	5.0202500200e-03	8.1584544328e-09	-8.7849466199e-09
0.00101	5.0202500198e-03	8.1480781339e-09	-9.0403924280e-09
0.00102	5.0202500196e-03	8.1378205819e-09	-9.2916451871e-09
0.00103	5.0202500194e-03	8.1277049490e-09	-9.5387867376e-09
0.00104	5.0202500192e-03	8.1177635051e-09	-9.7819150217e-09
0.00105	5.0202500190e-03	8.1080017893e-09	-1.0021101701e-08
0.00106	5.0202500188e-03	8.0983774253e-09	-1.0256446022e-08
0.00107	5.0202500187e-03	8.0888750754e-09	-1.0488037123e-08
0.00108	5.0202500185e-03	8.0794917126e-09	-1.0715967274e-08
0.00109	5.0202500183e-03	8.0701970392e-09	-1.0940315758e-08
0.0011	5.0202500182e-03	8.0609916444e-09	-1.1161164057e-08
0.00111	5.0202500180e-03	8.0518602597e-09	-1.1378577900e-08
0.00112	5.0202500178e-03	8.0428021775e-09	-1.1592617090e-08
0.00113	5.0202500177e-03	8.0338123430e-09	-1.1803339861e-08
0.00114	5.0202500175e-03	8.0248797722e-09	-1.2010801556e-08
0.00115	5.0202500174e-03	8.0159953148e-09	-1.2215061259e-08
0.00116	5.0202500172e-03	8.0071561071e-09	-1.2416176755e-08
0.00117	5.0202500171e-03	7.9983657748e-09	-1.2614205010e-08
0.00118	5.0202500169e-03	7.9896230722e-09	-1.2809190187e-08
0.00119	5.0202500168e-03	7.9809246901e-09	-1.3001193480e-08
0.0012	5.0202500166e-03	7.9722747747e-09	-1.3190264707e-08
0.00121	5.0202500165e-03	7.9636742541e-09	-1.3376468449e-08
0.00122	5.0202500164e-03	7.9551214746e-09	-1.3559857135e-08
0.00123	5.0202500162e-03	7.9466152740e-09	-1.3740491285e-08
0.00124	5.0202500161e-03	7.9381535457e-09	-1.3918417812e-08
0.00125	5.0202500160e-03	7.9297341774e-09	-1.4093695002e-08
0.00126	5.0202500159e-03	7.9213589579e-09	-1.4266367363e-08
0.00127	5.0202500157e-03	7.9130258201e-09	-1.4436490686e-08
0.00128	5.0202500156e-03	7.9047329687e-09	-1.4604106704e-08
0.00129	5.0202500155e-03	7.8964800214e-09	-1.4769269558e-08
0.0013	5.0202500154e-03	7.8882669934e-09	-1.4932020729e-08
0.00131	5.0202500152e-03	7.8800915047e-09	-1.5092412141e-08
0.00132	5.0202500151e-03	7.8719507369e-09	-1.5250476658e-08
0.00133	5.0202500150e-03	7.8638439923e-09	-1.5406261248e-08
0.00134	5.0202500149e-03	7.8557725787e-09	-1.5559797168e-08
0.00135	5.0202500148e-03	7.8477355017e-09	-1.5711131707e-08
0.00136	5.0202500147e-03	7.8397325046e-09	-1.5860296296e-08
0.00137	5.0202500146e-03	7.8317632262e-09	-1.6007338934e-08
0.00138	5.0202500145e-03	7.8238291783e-09	-1.6152288995e-08
0.00139	5.0202500144e-03	7.8159312562e-09	-1.6295195776e-08
0.0014	5.0202500143e-03	7.8080693475e-09	-1.6436087924e-08
0.00141	5.0202500142e-03	7.8002405325e-09	-1.6575011043e-08
0.00142	5.0202500141e-03	7.7924428130e-09	-1.6711990659e-08
0.00143	5.0202500140e-03	7.7846727460e-09	-1.6847071108e-08
0.00144	5.0202500139e-03	7.7769284721e-09	-1.6980277542e-08
0.00145	5.0202500138e-03	7.7692060451e-09	-1.7111655641e-08
0.00146	5.0202500137e-03	7.7615029577e-09	-1.7241230556e-08
0.00147	5.0202500136e-03	7.7538148136e-09	-1.7369043683e-08
0.00148	5.0202500135e-03	7.7461395980e-09	-1.7495117998e-08
0.00149	5.0202500134e-03	7.7384741602e-09	-1.7619493960e-08
0.0015	5.0202500133e-03	7.7308192167e-09	-1.7742192551e-08
0.00151	5.0202500132e-03	7.7231689482e-09	-1.7863249890e-08
0.00152	5.0202500131e-03	7.7155198962e-09	-1.7982683879e-08
0.00153	5.0202500131e-03	7.7078654194e-09	-1.8100529087e-08
0.00154	5.0202500130e-03	7.7002038770e-09	-1.8216804385e-08
0.00155	5.0202500129e-03	7.6925322858e-09	-1.8331545924e-08
0.00156	5.0202500128e-03	7.6848474670e-09	-1.8444770804e-08
0.00157	5.0202500127e-03	7.6771457151e-09	-1.8556514054e-08
0.00158	5.0202500126e-03	7.6694247301e-09	-1.8666791795e-08
0.00159	5.0202500126e-03	7.6616805655e-09	-1.8775636019e-08
0.0016	5.0202500125e-03	7.6539110417e-09	-1.8883062508e-08
0.00161	5.0202500124e-03	7.6461098038e-09	-1.8989103442e-08
0.00162	5.0202500123e-03	7.6382731820e-09	-1.9093772802e-08
0.00163	5.0202500123e-03	7.6303971155e-09	-1.9197099281e-08
0.00164	5.0202500122e-03	7.6224804528e-09	-1.9299095903e-08
0.00165	5.0202500121e-03	7.6145196261e-09	-1.9399786838e-08
0.00166	5.0202500120e-03	7.6065140319e-09	-1.9499182949e-08
0.00167	5.0202500120e-03	7.5984616304e-09	-1.9597307957e-08
0.00168	5.0202500119e-03	7.5903622473e-09	-1.9694172791e-08
0.00169	5.0202500118e-03	7.5822143045e-09	-1.9789800235e-08
0.0017	5.0202500117e-03	7.5740183332e-09	-1.9884199053e-08
0.00171	5.0202500117e-03	7.5657734744e-09	-1.9977391258e-08
0.00172	5.0202500116e-03	7.5574800548e-09	-2.0069386315e-08
0.00173	5.0202500115e-03	7.5491365919e-09	-2.0160204451e-08
0.00174	5.0202500115e-03	7.5407425108e-09	-2.0249853898e-08
0.00175	5.0202500114e-03	7.5322963602e-09	-2.0338355286e-08
0.00176	5.0202500113e-03	7.5237986371e-09	-2.0425716907e-08
0.00177	5.0202500113e-03	7.5152485445e-09	-2.0511960252e-08
0.00178	5.0202500112e-03	7.5066470015e-09	-2.0597092323e-08
0.00179	5.0202500112e-03	7.4979915928e-09	-2.0681130915e-08
0.0018	5.0202500111e-03	7.4892810108e-09	-2.0764081011e-08
0.00181	5.0202500110e-03	7.4805129906e-09	-2.0845963117e-08
0.00182	5.0202500110e-03	7.4716845883e-09	-2.0926784077e-08
0.00183	5.0202500109e-03	7.4627961964e-09	-2.1006561961e-08
0.00184	5.0202500109e-03	7.4538560949e-09	-2.1085305339e-08
0.00185	5.0202500108e-03	7.4448637899e-09	-2.1163031135e-08
0.00186	5.0202500107e-03	7.4358192515e-09	-2.1239746699e-08
0.00187	5.0202500107e-03	7.4267214747e-09	-2.1315470401e-08
0.00188	5.0202500106e-03	7.4175714616e-09	-2.1390210664e-08
0.00189	5.0202500106e-03	7.4083686181e-09	-2.1463985929e-08
0.0019	5.0202500105e-03	7.3991138995e-09	-2.1536802074e-08
0.00191	5.0202500105e-03	7.3898077525e-09	-2.1608675992e-08
0.00192	5.0202500104e-03	7.3804507327e-09	-2.1679613646e-08
0.00193	5.0202500103e-03	7.3710422719e-09	-2.1749630943e-08
0.00194	5.0202500103e-03	7.3615828787e-09	-2.1818733958e-08
0.00195	5.0202500102e-03	7.3520734637e-09	-2.1886939416e-08
0.00196	5.0202500102e-03	7.3425162377e-09	-2.1954253688e-08
0.00197	5.0202500101e-03	7.3329129517e-09	-2.2020690739e-08
0.00198	5.0202500101e-03	7.3232656539e-09	-2.2086257237e-08
0.00199	5.0202500100e-03	7.3135764139e-09	-2.2150966813e-08
0.002	5.0202500100e-03	7.3038470174e-09	-2.2214825679e-08
0.00201	5.0202500099e-03	7.2940789982e-09	-2.2277847601e-08
0.00202	5.0202500099e-03	7.2842737416e-09	-2.2340039434e-08
0.00203	5.0202500098e-03	7.2744326889e-09	-2.2401416055e-08
0.00204	5.0202500098e-03	7.2645619143e-09	-2.2461982510e-08
0.00205	5.0202500097e-03	7.2546637909e-09	-2.2521755338e-08
0.00206	5.0202500097e-03	7.2447438007e-09	-2.2580737238e-08
0.00207	5.0202500096e-03	7.2348009738e-09	-2.2638946933e-08
0.00208	5.0202500096e-03	7.2248362274e-09	-2.2696391062e-08
0.00209	5.0202500096e-03	7.2148499478e-09	-2.2753083398e-08
0.0021	5.0202500095e-03	7.2048425102e-09	-2.2809028664e-08
0.00211	5.0202500095e-03	7.1948127420e-09	-2.2864240880e-08
0.00212	5.0202500094e-03	7.1847629452e-09	-2.2918729459e-08
0.00213	5.0202500094e-03	7.1746940062e-09	-2.2972509883e-08
0.00214	5.0202500093e-03	7.1646080650e-09	-2.3025585064e-08
0.00215	5.0202500093e-03	7.1545057424e-09	-2.3077968003e-08
0.00216	5.0202500092e-03	7.1443875944e-09	-2.3129664466e-08
0.00217	5.0202500092e-03	7.1342533229e-09	-2.3180687238e-08
0.00218	5.0202500092e-03	7.1241029131e-09	-2.3231041676e-08
0.00219	5.0202500091e-03	7.1139364077e-09	-2.3280740733e-08
0.0022	5.0202500091e-03	7.1037534992e-09	-2.3329789732e-08
0.00221	5.0202500090e-03	7.0935537796e-09	-2.3378201618e-08
0.00222	5.0202500090e-03	7.0833369860e-09	-2.3425981287e-08
0.00223	5.0202500090e-03	7.0731027573e-09	-2.3473141825e-08
0.00224	5.0202500089e-03	7.0628511604e-09	-2.3519687892e-08
0.00225	5.0202500089e-03	7.0525818468e-09	-2.3565631103e-08
0.00226	5.0202500088e-03	7.0422948735e-09	-2.3610975283e-08
0.00227	5.0202500088e-03	7.0319899552e-09	-2.3655731536e-08
0.00228	5.0202500088e-03	7.0216678001e-09	-2.3699903371e-08
0.00229	5.0202500087e-03	7.0113274160e-09	-2.3743501308e-08
0.0023	5.0202500087e-03	7.0009691939e-09	-2.3786528848e-08
0.00231	5.0202500086e-03	6.9905920906e-09	-2.3828995079e-08
0.00232	5.0202500086e-03	6.9801966945e-09	-2.3870902897e-08
0.00233	5.0202500086e-03	6.9697829230e-09	-2.3912261481e-08
0.00234	5.0202500085e-03	6.9593521421e-09	-2.3953072952e-08
0.00235	5.0202500085e-03	6.9489045852e-09	-2.3993345981e-08
0.00236	5.0202500085e-03	6.9384410965e-09	-2.4033083917e-08
0.00237	5.0202500084e-03	6.9279619604e-09	-2.4072295380e-08
0.00238	5.0202500084e-03	6.9174682429e-09	-2.4110983158e-08
0.00239	5.0202500084e-03	6.9069603899e-09	-2.4149155968e-08
0.0024	5.0202500083e-03	6.8964374609e-09	-2.4186817084e-08
0.00241	5.0202500083e-03	6.8858978476e-09	-2.4223973975e-08
0.00242	5.0202500083e-03	6.8753410360e-09	-2.4260629819e-08
0.00243	5.0202500082e-03	6.8647642160e-09	-2.4296790770e-08
0.00244	5.0202500082e-03	6.8541686770e-09	-2.4332459515e-08
0.00245	5.0202500082e-03	6.8435539080e-09	-2.4367643017e-08
0.00246	5.0202500081e-03	6.8329222720e-09	-2.4402344526e-08
0.00247	5.0202500081e-03	6.8222710312e-09	-2.4436573096e-08
0.00248	5.0202500081e-03	6.8116024795e-09	-2.4470332492e-08
0.00249	5.0202500080e-03	6.8009152768e-09	-2.4503629063e-08
0.0025	5.0202500080e-03	6.7902102602e-09	-2.4536466541e-08
0.00251	5.0202500080e-03	6.7794860739e-09	-2.4568851624e-08
0.00252	5.0202500079e-03	6.7687444574e-09	-2.4600788543e-08
0.00253	5.0202500079e-03	6.7579842022e-09	-2.4632285119e-08
