# Histogram   
# Time        	binMidPoints  	dataCounts    	dataValues    
2.000000e-03	9.500000e+00	0	0.000000e+00
2.000000e-03	8.500000e+00	0	0.000000e+00
2.000000e-03	7.500000e+00	0	0.000000e+00
2.000000e-03	6.500000e+00	0	0.000000e+00
2.000000e-03	4.000000e+00	0	0.000000e+00
2.000000e-03	1.000000e+00	0	0.000000e+00
2.000000e-03	2.500000e+00	78	9.964074e-05
2.000000e-03	7.500000e+00	321010	9.999004e-01
4.000000e-03	9.500000e+00	0	0.000000e+00
4.000000e-03	8.500000e+00	0	0.000000e+00
4.000000e-03	7.500000e+00	0	0.000000e+00
4.000000e-03	6.500000e+00	0	0.000000e+00
4.000000e-03	4.000000e+00	0	0.000000e+00
4.000000e-03	1.000000e+00	0	0.000000e+00
4.000000e-03	2.500000e+00	321088	1.000000e+00
4.000000e-03	7.500000e+00	0	0.000000e+00
6.000000e-03	9.500000e+00	0	0.000000e+00
6.000000e-03	8.500000e+00	0	0.000000e+00
6.000000e-03	7.500000e+00	0	0.000000e+00
6.000000e-03	6.500000e+00	0	0.000000e+00
6.000000e-03	4.000000e+00	0	0.000000e+00
6.000000e-03	1.000000e+00	0	0.000000e+00
6.000000e-03	2.500000e+00	321088	1.000000e+00
6.000000e-03	7.500000e+00	0	0.000000e+00
8.000000e-03	9.500000e+00	0	0.000000e+00
8.000000e-03	8.500000e+00	0	0.000000e+00
8.000000e-03	7.500000e+00	0	0.000000e+00
8.000000e-03	6.500000e+00	0	0.000000e+00
8.000000e-03	4.000000e+00	0	0.000000e+00
8.000000e-03	1.000000e+00	0	0.000000e+00
8.000000e-03	2.500000e+00	321088	1.000000e+00
8.000000e-03	7.500000e+00	0	0.000000e+00
1.000000e-02	9.500000e+00	0	0.000000e+00
1.000000e-02	8.500000e+00	0	0.000000e+00
1.000000e-02	7.500000e+00	0	0.000000e+00
1.000000e-02	6.500000e+00	0	0.000000e+00
1.000000e-02	4.000000e+00	0	0.000000e+00
1.000000e-02	1.000000e+00	0	0.000000e+00
1.000000e-02	2.500000e+00	321088	1.000000e+00
1.000000e-02	7.500000e+00	0	0.000000e+00
1.200000e-02	9.500000e+00	0	0.000000e+00
1.200000e-02	8.500000e+00	0	0.000000e+00
1.200000e-02	7.500000e+00	0	0.000000e+00
1.200000e-02	6.500000e+00	0	0.000000e+00
1.200000e-02	4.000000e+00	0	0.000000e+00
1.200000e-02	1.000000e+00	0	0.000000e+00
1.200000e-02	2.500000e+00	321088	1.000000e+00
1.200000e-02	7.500000e+00	0	0.000000e+00
1.400000e-02	9.500000e+00	0	0.000000e+00
1.400000e-02	8.500000e+00	0	0.000000e+00
1.400000e-02	7.500000e+00	0	0.000000e+00
1.400000e-02	6.500000e+00	0	0.000000e+00
1.400000e-02	4.000000e+00	0	0.000000e+00
1.400000e-02	1.000000e+00	0	0.000000e+00
1.400000e-02	2.500000e+00	321088	1.000000e+00
1.400000e-02	7.500000e+00	0	0.000000e+00
1.600000e-02	9.500000e+00	0	0.000000e+00
1.600000e-02	8.500000e+00	0	0.000000e+00
1.600000e-02	7.500000e+00	0	0.000000e+00
1.600000e-02	6.500000e+00	0	0.000000e+00
1.600000e-02	4.000000e+00	0	0.000000e+00
