# Solver information    
# Time                  	U_solver                	Ux_initial              	Ux_final                	Ux_iters                	Uy_initial              	Uy_final                	Uy_iters                	Uz_initial              	Uz_final                	Uz_iters                	U_converged             	epsilon_solver          	epsilon_initial         	epsilon_final           	epsilon_iters           	epsilon_converged       	k_solver                	k_initial               	k_final                 	k_iters                 	k_converged             	p_solver                	p_initial               	p_final                 	p_iters                 	p_converged             
0.00015                 	smoothSolver	7.2819800000000004e-03	6.9066900000000000e-08	2	5.9798700000000000e-03	5.2172900000000001e-08	2	5.9452200000000002e-03	5.2131499999999999e-08	2	false	smoothSolver	6.5315800000000004e-03	4.9469499999999998e-08	2	true	smoothSolver	2.7229000000000000e-02	2.0310000000000001e-07	2	true	GAMG	2.7778799999999999e-02	1.3747600000000000e-03	1	true
0.00016                 	smoothSolver	7.0012700000000004e-03	6.6479199999999994e-08	2	5.8188099999999998e-03	5.0849000000000001e-08	2	5.7865399999999997e-03	5.0793700000000002e-08	2	false	smoothSolver	6.3544400000000003e-03	4.7950799999999999e-08	2	true	smoothSolver	2.5307900000000001e-02	1.8796100000000000e-07	2	true	GAMG	2.6404700000000000e-02	1.3010599999999999e-03	1	true
0.00017                 	smoothSolver	6.7644599999999999e-03	6.4304299999999994e-08	2	5.6785200000000003e-03	4.9670400000000003e-08	2	5.6483899999999997e-03	4.9626200000000001e-08	2	false	smoothSolver	6.1847500000000001e-03	4.6480800000000000e-08	2	true	smoothSolver	2.3624500000000000e-02	1.7476399999999999e-07	2	true	GAMG	2.5192200000000001e-02	1.2385899999999999e-03	1	true
0.00018                 	smoothSolver	6.5647099999999996e-03	6.2450499999999994e-08	2	5.5563000000000001e-03	4.8644299999999998e-08	2	5.5275400000000001e-03	4.8603799999999999e-08	2	false	smoothSolver	6.0221800000000002e-03	4.5053799999999997e-08	2	true	smoothSolver	2.2137199999999999e-02	1.6293099999999999e-07	2	true	GAMG	2.4153299999999999e-02	1.1871399999999999e-03	1	true
0.00019                 	smoothSolver	6.3953300000000003e-03	6.0850000000000006e-08	2	5.4488599999999998e-03	4.7739500000000002e-08	2	5.4210500000000002e-03	4.7699899999999998e-08	2	false	smoothSolver	5.8664199999999998e-03	4.3640599999999998e-08	2	true	smoothSolver	2.0814699999999998e-02	1.5230300000000001e-07	2	true	GAMG	2.3219900000000002e-02	1.1398700000000001e-03	1	true
0.0002                  	smoothSolver	6.2516300000000002e-03	5.9453000000000003e-08	2	5.3538400000000003e-03	4.6934899999999998e-08	2	5.3263299999999998e-03	4.6889999999999998e-08	2	false	smoothSolver	5.7173700000000003e-03	4.2292599999999998e-08	2	true	smoothSolver	1.9631400000000000e-02	1.4297499999999999e-07	2	true	GAMG	2.2406200000000001e-02	1.0967200000000000e-03	1	true
0.00021                 	smoothSolver	6.1300299999999999e-03	5.8223200000000002e-08	2	5.2687500000000000e-03	4.6207099999999997e-08	2	5.2421300000000002e-03	4.6153600000000002e-08	2	false	smoothSolver	5.5742500000000002e-03	4.1038300000000003e-08	2	true	smoothSolver	1.8566300000000001e-02	1.3446900000000001e-07	2	true	GAMG	2.1661699999999999e-02	1.0603300000000000e-03	1	true
0.00022                 	smoothSolver	6.0273200000000001e-03	5.7142700000000001e-08	2	5.1923700000000000e-03	4.5547800000000001e-08	2	5.1664299999999996e-03	4.5480600000000000e-08	2	false	smoothSolver	5.4369199999999996e-03	3.9836600000000000e-08	2	true	smoothSolver	1.7603299999999999e-02	1.2693799999999999e-07	2	true	GAMG	2.1006199999999999e-02	1.0282600000000000e-03	1	true
0.00023                 	smoothSolver	5.9409600000000003e-03	5.6183699999999999e-08	2	5.1233199999999998e-03	4.4944500000000003e-08	2	5.0980100000000000e-03	4.4869299999999999e-08	2	false	smoothSolver	5.3050900000000002e-03	3.8715900000000002e-08	2	true	smoothSolver	1.6728400000000001e-02	1.2002299999999999e-07	2	true	GAMG	2.0396200000000000e-02	9.9871500000000006e-04	1	true
0.00024                 	smoothSolver	5.8673400000000004e-03	5.5322999999999998e-08	2	5.0605099999999998e-03	4.4386200000000002e-08	2	5.0358900000000003e-03	4.4310200000000002e-08	2	false	smoothSolver	5.1784400000000003e-03	3.7645900000000000e-08	2	true	smoothSolver	1.5930300000000001e-02	1.1380400000000000e-07	2	true	GAMG	1.9556299999999999e-02	9.5771300000000001e-04	1	true
