# Momentum        
#
# Time            	(momentum_x momentum_y momentum_z)	volume            
0.00057           	(5.0202519972e-03 7.4377479855e-09 -2.5128783274e-08)	5.0202519972e-03
0.00058           	(5.0202519972e-03 7.4203354023e-09 -2.5546968629e-08)	5.0202519972e-03
0.00059           	(5.0202519972e-03 7.4029802761e-09 -2.5952328607e-08)	5.0202519972e-03
0.0006            	(5.0202519972e-03 7.3885177442e-09 -2.6340435713e-08)	5.0202519972e-03
0.00061           	(5.0202519972e-03 7.3776694404e-09 -2.6712436950e-08)	5.0202519972e-03
0.00062           	(5.0202519972e-03 7.3691804936e-09 -2.7069528146e-08)	5.0202519972e-03
0.00063           	(5.0202519972e-03 7.3625367528e-09 -2.7412962913e-08)	5.0202519972e-03
0.00064           	(5.0202519972e-03 7.3586597588e-09 -2.7744164426e-08)	5.0202519972e-03
0.00065           	(5.0202519972e-03 7.3580344256e-09 -2.8064865562e-08)	5.0202519972e-03
0.00066           	(5.0202519972e-03 7.3572442393e-09 -2.8374590494e-08)	5.0202519972e-03
0.00067           	(5.0202519972e-03 7.3543164095e-09 -2.8672286118e-08)	5.0202519972e-03
0.00068           	(5.0202519972e-03 7.3519357303e-09 -2.8959801924e-08)	5.0202519972e-03
0.00069           	(5.0202519972e-03 7.3499158458e-09 -2.9237842190e-08)	5.0202519972e-03
0.0007            	(5.0202519972e-03 7.3490731919e-09 -2.9507534391e-08)	5.0202519972e-03
0.00071           	(5.0202519972e-03 7.3485966210e-09 -2.9768684268e-08)	5.0202519972e-03
0.00072           	(5.0202519972e-03 7.3488759368e-09 -3.0021371634e-08)	5.0202519972e-03
0.00073           	(5.0202519972e-03 7.3499459888e-09 -3.0265178234e-08)	5.0202519972e-03
0.00074           	(5.0202519972e-03 7.3497337674e-09 -3.0500830444e-08)	5.0202519972e-03
0.00075           	(5.0202519972e-03 7.3471892092e-09 -3.0727634523e-08)	5.0202519972e-03
0.00076           	(5.0202519972e-03 7.3435872593e-09 -3.0946293458e-08)	5.0202519972e-03
0.00077           	(5.0202519972e-03 7.3412033484e-09 -3.1159087336e-08)	5.0202519972e-03
0.00078           	(5.0202519972e-03 7.3379490266e-09 -3.1368765285e-08)	5.0202519972e-03
0.00079           	(5.0202519972e-03 7.3342674575e-09 -3.1573222366e-08)	5.0202519972e-03
0.0008            	(5.0202519972e-03 7.3300158074e-09 -3.1770133277e-08)	5.0202519972e-03
0.00081           	(5.0202519972e-03 7.3253995055e-09 -3.1957019547e-08)	5.0202519972e-03
0.00082           	(5.0202519972e-03 7.3184555265e-09 -3.2140170758e-08)	5.0202519972e-03
0.00083           	(5.0202519972e-03 7.3118021910e-09 -3.2317337459e-08)	5.0202519972e-03
0.00084           	(5.0202519972e-03 7.3071987644e-09 -3.2486617641e-08)	5.0202519972e-03
0.00085           	(5.0202519972e-03 7.3033895102e-09 -3.2648595502e-08)	5.0202519972e-03
0.00086           	(5.0202519972e-03 7.2950891205e-09 -3.2811309942e-08)	5.0202519972e-03
0.00087           	(5.0202519972e-03 7.2860005698e-09 -3.2966984659e-08)	5.0202519972e-03
0.00088           	(5.0202519972e-03 7.2789785202e-09 -3.3113900425e-08)	5.0202519972e-03
0.00089           	(5.0202519972e-03 7.2726943017e-09 -3.3253432753e-08)	5.0202519972e-03
0.0009            	(5.0202519972e-03 7.2654892700e-09 -3.3389528343e-08)	5.0202519972e-03
0.00091           	(5.0202519972e-03 7.2585895341e-09 -3.3520182840e-08)	5.0202519972e-03
0.00092           	(5.0202519972e-03 7.2488748860e-09 -3.3647261873e-08)	5.0202519972e-03
0.00093           	(5.0202519972e-03 7.2359370516e-09 -3.3765790394e-08)	5.0202519972e-03
0.00094           	(5.0202519972e-03 7.2226238462e-09 -3.3885021003e-08)	5.0202519972e-03
0.00095           	(5.0202519972e-03 7.2094584346e-09 -3.4000628764e-08)	5.0202519972e-03
0.00096           	(5.0202519972e-03 7.1910103951e-09 -3.4113005593e-08)	5.0202519972e-03
0.00097           	(5.0202519972e-03 7.1713710599e-09 -3.4218461164e-08)	5.0202519972e-03
0.00098           	(5.0202519972e-03 7.1502478234e-09 -3.4319065835e-08)	5.0202519972e-03
0.00099           	(5.0202519972e-03 7.1340322410e-09 -3.4413417040e-08)	5.0202519972e-03
0.001             	(5.0202519972e-03 7.1201902807e-09 -3.4502439985e-08)	5.0202519972e-03
0.00101           	(5.0202519972e-03 7.1104485260e-09 -3.4585013231e-08)	5.0202519972e-03
0.00102           	(5.0202519972e-03 7.1018063549e-09 -3.4668187088e-08)	5.0202519972e-03
0.00103           	(5.0202519972e-03 7.0959067441e-09 -3.4747211975e-08)	5.0202519972e-03
0.00104           	(5.0202519972e-03 7.0937915286e-09 -3.4824140261e-08)	5.0202519972e-03
0.00105           	(5.0202519972e-03 7.0927848736e-09 -3.4896556555e-08)	5.0202519972e-03
0.00106           	(5.0202519972e-03 7.0878240841e-09 -3.4967556279e-08)	5.0202519972e-03
0.00107           	(5.0202519972e-03 7.0816300635e-09 -3.5036650138e-08)	5.0202519972e-03
0.00108           	(5.0202519972e-03 7.0754719601e-09 -3.5104443614e-08)	5.0202519972e-03
0.00109           	(5.0202519972e-03 7.0663742776e-09 -3.5169995630e-08)	5.0202519972e-03
0.0011            	(5.0202519972e-03 7.0576078833e-09 -3.5233624220e-08)	5.0202519972e-03
0.00111           	(5.0202519972e-03 7.0474058316e-09 -3.5294124884e-08)	5.0202519972e-03
0.00112           	(5.0202519972e-03 7.0373508810e-09 -3.5350992080e-08)	5.0202519972e-03
0.00113           	(5.0202519972e-03 7.0269517535e-09 -3.5404282335e-08)	5.0202519972e-03
0.00114           	(5.0202519972e-03 7.0155010336e-09 -3.5453955327e-08)	5.0202519972e-03
0.00115           	(5.0202519972e-03 7.0031682041e-09 -3.5500622792e-08)	5.0202519972e-03
0.00116           	(5.0202519972e-03 6.9906454197e-09 -3.5544481600e-08)	5.0202519972e-03
0.00117           	(5.0202519972e-03 6.9786826551e-09 -3.5585464132e-08)	5.0202519972e-03
0.00118           	(5.0202519972e-03 6.9667295245e-09 -3.5622420022e-08)	5.0202519972e-03
0.00119           	(5.0202519972e-03 6.9545151248e-09 -3.5657602120e-08)	5.0202519972e-03
0.0012            	(5.0202519972e-03 6.9429299639e-09 -3.5689742802e-08)	5.0202519972e-03
0.00121           	(5.0202519972e-03 6.9316117406e-09 -3.5720960379e-08)	5.0202519972e-03
0.00122           	(5.0202519972e-03 6.9202368960e-09 -3.5749848475e-08)	5.0202519972e-03
0.00123           	(5.0202519972e-03 6.9088556978e-09 -3.5777906045e-08)	5.0202519972e-03
0.00124           	(5.0202519972e-03 6.8973566664e-09 -3.5803386682e-08)	5.0202519972e-03
0.00125           	(5.0202519972e-03 6.8857291781e-09 -3.5828053235e-08)	5.0202519972e-03
0.00126           	(5.0202519972e-03 6.8744557000e-09 -3.5850365686e-08)	5.0202519972e-03
0.00127           	(5.0202519972e-03 6.8630461551e-09 -3.5871995094e-08)	5.0202519972e-03
0.00128           	(5.0202519972e-03 6.8515369909e-09 -3.5891336119e-08)	5.0202519972e-03
0.00129           	(5.0202519972e-03 6.8400997627e-09 -3.5910150923e-08)	5.0202519972e-03
0.0013            	(5.0202519972e-03 6.8287861442e-09 -3.5926872834e-08)	5.0202519972e-03
0.00131           	(5.0202519972e-03 6.8172741120e-09 -3.5943268478e-08)	5.0202519972e-03
0.00132           	(5.0202519972e-03 6.8055142721e-09 -3.5956896857e-08)	5.0202519972e-03
0.00133           	(5.0202519972e-03 6.7937579746e-09 -3.5969823971e-08)	5.0202519972e-03
0.00134           	(5.0202519972e-03 6.7822725524e-09 -3.5980098557e-08)	5.0202519972e-03
0.00135           	(5.0202519972e-03 6.7707697320e-09 -3.5989958469e-08)	5.0202519972e-03
0.00136           	(5.0202519972e-03 6.7593276306e-09 -3.5997474257e-08)	5.0202519972e-03
0.00137           	(5.0202519972e-03 6.7479389942e-09 -3.6005111933e-08)	5.0202519972e-03
0.00138           	(5.0202519972e-03 6.7368636055e-09 -3.6010459247e-08)	5.0202519972e-03
0.00139           	(5.0202519972e-03 6.7260216152e-09 -3.6016290884e-08)	5.0202519972e-03
0.0014            	(5.0202519972e-03 6.7152656511e-09 -3.6020087396e-08)	5.0202519972e-03
0.00141           	(5.0202519972e-03 6.7042020888e-09 -3.6024235050e-08)	5.0202519972e-03
0.00142           	(5.0202519972e-03 6.6929664457e-09 -3.6026151540e-08)	5.0202519972e-03
0.00143           	(5.0202519972e-03 6.6813196743e-09 -3.6028446474e-08)	5.0202519972e-03
